tree	path	bytes	sha256	source_url	retrieved_from
siramy	_divers/d2_anim/sofw.gif	239699	5649d18998e210606c7fad76a7f4b8b0a642be37c8f2be849355c715932eb140	http://paul.siramy.free.fr/_divers/d2_anim/sofw.gif	live
siramy	_divers/d2_anim/sonu1.gif	122147	4d9703a273d889aeaf6f6b693b6dd449db4c08e7001c945d34707135c8413ebb	http://paul.siramy.free.fr/_divers/d2_anim/sonu1.gif	live
siramy	_divers/d2_anim/sonu2.gif	139183	d0d6da381d73f24479ed58b04c4c0da190550a689198c2d655751422c7966ae9	http://paul.siramy.free.fr/_divers/d2_anim/sonu2.gif	live
siramy	_divers/d2_anim/sonu3.gif	88844	6740e579d94572daa9a5232a46b05181f2590375c76c22e724fbe128a452f259	http://paul.siramy.free.fr/_divers/d2_anim/sonu3.gif	live
siramy	_divers/d2_gif_palettes/d2-act0-black.gif	1087	c57da27aa32dc91478f35cb8d0bb080190847bfba31a2c6af770157e8f8020d4	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-act0-black.gif	live
siramy	_divers/d2_gif_palettes/d2-act0-cyan.gif	1087	0bd28da07acd8025119852da2ebe9f4f7425f05e47744ad86d87e4200b2b2eb0	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-act0-cyan.gif	live
siramy	_divers/d2_gif_palettes/d2-act1.gif	1087	88268232da5e4872bcfd88eb3db0f6b6f257efb660b5562898b101509eef70e0	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-act1.gif	live
siramy	_divers/d2_gif_palettes/d2-act2.gif	1087	0fe824d1bdd99e3091df1d3754a24b2cf0c766d74e74db6bacf777e479e16bf3	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-act2.gif	live
siramy	_divers/d2_gif_palettes/d2-act3.gif	1087	a8d85fa5e1a5bceb7412e9962b4dd5d91b11ad026d2aa4695b6976c29aa7660e	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-act3.gif	live
siramy	_divers/d2_gif_palettes/d2-act4.gif	1087	0b4edd07fa16f82c55fa5cf3e8c2b1b387c9516f8d6693630daaddf2e09d1d24	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-act4.gif	live
